,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
78,Zemio,CF,5.0314,25.1361,71.47,88,74,3.47,light rain
79,Butaritari,KI,3.0707,172.7902,82.8,64,98,16.82,overcast clouds
80,Opotiki,NZ,-38.0833,177.2833,60.39,99,100,11.81,overcast clouds
81,Sorland,NO,67.667,12.6934,53.67,83,100,24.54,light rain
82,Lalitpur,NP,27.6667,85.3333,68.38,94,75,3.44,broken clouds
83,Iqaluit,CA,63.7506,-68.5145,44.33,61,75,5.01,broken clouds
84,Suzun,RU,53.7841,82.3116,35.17,91,100,1.68,overcast clouds
85,Lethem,GY,3.3803,-59.7968,90.0,53,56,5.79,broken clouds
86,Istisu,AZ,40.9457,48.0738,52.47,87,85,0.98,overcast clouds
87,Kapaa,US,22.0752,-159.319,80.58,85,90,1.01,heavy intensity rain
88,Castro,BR,-24.7911,-50.0119,65.73,93,100,6.67,light rain
89,Hilo,US,19.7297,-155.09,73.4,85,90,4.61,light rain
90,Vaini,TO,-21.2,-175.2,73.56,88,90,9.22,overcast clouds
91,Antofagasta,CL,-23.65,-70.4,60.08,67,26,12.86,scattered clouds
92,Garowe,SO,8.4054,48.4845,83.62,52,95,15.52,overcast clouds
93,Hay River,CA,60.8156,-115.7999,49.98,43,40,10.36,scattered clouds
94,Ciudad Bolivar,VE,8.1222,-63.5497,86.92,56,99,8.66,overcast clouds
95,Cap Malheureux,MU,-19.9842,57.6142,72.46,74,11,10.0,few clouds
96,Olafsvik,IS,64.8945,-23.7142,42.03,90,100,32.93,overcast clouds
97,Aquiraz,BR,-3.9014,-38.3911,88.21,57,22,15.55,few clouds
98,Torbay,CA,47.6666,-52.7314,61.29,80,75,2.3,broken clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,85.96,69,20,23.02,few clouds
100,Preobrazheniye,RU,42.9019,133.9064,63.72,94,100,8.7,moderate rain
101,Kuryk,KZ,43.2,51.65,61.27,28,82,19.93,broken clouds
102,Nouakchott,MR,18.0858,-15.9785,85.93,70,41,14.05,scattered clouds
103,Jiayuguan,CN,39.8167,98.3,45.28,32,98,7.74,overcast clouds
104,Tuni,IN,17.35,82.55,79.3,81,12,2.55,few clouds
105,Airai,TL,-8.9266,125.4092,59.29,76,27,1.19,scattered clouds
106,Maryborough,AU,-25.5333,152.7,65.89,98,21,4.5,few clouds
107,Beloha,MG,-25.1667,45.05,72.68,80,9,4.63,clear sky
108,Narsaq,GL,60.9167,-46.05,44.82,51,1,5.82,clear sky
109,Champerico,GT,14.3,-91.9167,91.94,74,24,6.69,few clouds
110,Payo,ID,-3.7508,103.6372,73.02,95,86,1.63,light rain
111,Chokurdakh,RU,70.6333,147.9167,20.46,96,100,8.97,overcast clouds
112,Bhongir,IN,17.5108,78.8889,77.18,74,77,2.17,broken clouds
113,Alice Springs,AU,-23.7,133.8833,54.95,47,0,0.0,clear sky
114,Busselton,AU,-33.65,115.3333,42.08,59,91,5.37,overcast clouds
115,Posadas,AR,-27.3671,-55.8961,71.58,88,90,9.22,thunderstorm with drizzle
116,Clyde River,CA,70.4692,-68.5914,39.43,87,90,2.3,overcast clouds
117,Banda Aceh,ID,5.5577,95.3222,79.95,82,70,7.02,broken clouds
118,Lebu,CL,-37.6167,-73.65,53.02,68,22,22.35,few clouds
119,Nikolskoye,RU,59.7035,30.7861,50.4,81,2,7.74,clear sky
120,Anadyr,RU,64.75,177.4833,37.9,86,40,8.01,scattered clouds
121,Esperance,AU,-33.8667,121.9,42.64,69,12,8.12,few clouds
122,Piritiba,BR,-11.7303,-40.5553,86.85,37,69,6.67,broken clouds
123,Yambio,SS,4.5721,28.3955,68.05,87,72,4.29,broken clouds
124,Yumen,CN,40.2833,97.2,43.9,35,98,11.34,overcast clouds
125,Druzhba,UA,52.0428,33.9453,46.69,76,36,7.43,scattered clouds
126,Kawalu,ID,-7.3817,108.2082,70.3,94,90,1.36,overcast clouds
127,Smiltene,LV,57.4244,25.9016,52.81,69,80,11.99,broken clouds
128,San Andres,CO,12.5847,-81.7006,87.82,70,40,9.22,scattered clouds
129,Andros Town,BS,24.7,-77.7667,87.76,63,17,16.11,few clouds
130,Hithadhoo,MV,-0.6,73.0833,83.53,75,80,16.04,broken clouds
131,Barrow,US,71.2906,-156.7887,30.22,80,90,8.05,overcast clouds
132,Poum,NC,-20.2333,164.0167,74.62,85,41,14.67,scattered clouds
133,Padang,ID,-0.9492,100.3543,77.74,87,98,2.68,overcast clouds
134,Port Elizabeth,ZA,-33.918,25.5701,57.09,76,20,6.91,few clouds
135,Yulara,AU,-25.2406,130.9889,55.24,38,0,6.91,clear sky
136,Tarauaca,BR,-8.1614,-70.7656,94.12,41,28,4.21,scattered clouds
137,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,76,42,20.38,scattered clouds
138,Bengkulu,ID,-3.8004,102.2655,75.63,91,88,4.92,overcast clouds
139,Saskylakh,RU,71.9167,114.0833,16.02,93,65,10.31,broken clouds
140,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,50,11.7,scattered clouds
141,Yola,NG,9.2,12.4833,84.76,52,7,2.08,clear sky
142,Visim,RU,57.6488,59.5014,27.27,92,87,3.49,overcast clouds
143,Kargat,RU,55.1956,80.2811,33.64,99,100,3.02,overcast clouds
144,Leh,IN,34.1667,77.5833,52.75,34,22,6.13,few clouds
145,Minjur,IN,13.2667,80.2667,82.42,78,4,6.44,clear sky
146,Tiksi,RU,71.6872,128.8694,24.31,92,74,10.6,broken clouds
147,Sokoni,TZ,-6.4333,39.55,77.59,72,32,13.13,scattered clouds
148,Sisimiut,GL,66.9395,-53.6735,37.8,68,84,4.07,broken clouds
149,Tautira,PF,-17.7333,-149.15,80.62,78,23,7.25,light rain
150,Llata,PE,-9.4167,-76.7833,65.46,58,74,9.86,broken clouds
151,Comodoro Rivadavia,AR,-45.8667,-67.5,64.26,24,40,23.02,scattered clouds
152,Cherskiy,RU,68.75,161.3,17.49,97,99,3.31,light snow
153,Pisco,PE,-13.7,-76.2167,68.05,64,40,17.27,scattered clouds
154,Prince Rupert,CA,54.3161,-130.3201,47.89,77,75,8.05,light rain
155,Kaitangata,NZ,-46.2817,169.8464,49.93,82,100,13.33,overcast clouds
